tconst,originalTitle,startYear,genres
tt0293429,Mortal Kombat,2021.0,"Action,Adventure,Fantasy"
tt0437086,Alita: Battle Angel,2019.0,"Action,Adventure,Sci-Fi"
tt0439572,The Flash,2023.0,"Action,Adventure,Fantasy"
tt0448115,Shazam!,2019.0,"Action,Adventure,Comedy"
tt0451279,Wonder Woman,2017.0,"Action,Adventure,Fantasy"
tt0493405,CHIPS,2017.0,"Action,Comedy,Crime"
tt0498381,Rings,2017.0,"Drama,Horror,Mystery"
tt0781524,Vendetta,2022.0,"Horror,Mystery,Thriller"
tt0837563,Pet Sematary,2019.0,"Horror,Mystery,Thriller"
tt0870154,Jungle Cruise,2021.0,"Action,Adventure,Comedy"
tt0887261,Hellraiser,2022.0,"Horror,Mystery,Thriller"
tt0974015,Justice League,2017.0,"Action,Adventure,Fantasy"
tt0993840,Army of the Dead,2021.0,"Action,Adventure,Crime"
tt10013634,Cinderella,2018.0,Musical
tt10016180,The Little Things,2021.0,"Crime,Drama,Mystery"
tt10023022,Clean,2021.0,"Action,Crime,Drama"
tt10037014,Fear of Rain,2021.0,"Drama,Horror,Mystery"
tt10039344,Countdown,2019.0,"Horror,Thriller"
tt10077034,Twist,2021.0,"Action,Drama,Thriller"
tt10080270,En Brazos de un Asesino,2019.0,"Romance,Thriller"
tt10097362,El Exorcismo de Carmen Farías,2021.0,Horror
tt10098448,Jesus Revolution,2023.0,"Biography,Drama,History"
tt10101702,My Little Pony: A New Generation,2021.0,"Adventure,Animation,Comedy"
tt10121392,Thunder Force,2021.0,"Action,Adventure,Comedy"
tt10131024,Shut In,2022.0,"Drama,Thriller"
tt10151854,Shazam! Fury of the Gods,2023.0,"Action,Adventure,Comedy"
tt10155932,Cinderella,2021.0,"Comedy,Family,Fantasy"
tt10160974,Witch Hunt,2021.0,"Drama,Fantasy,Horror"
tt1016150,Im Westen nichts Neues,2022.0,"Drama,History,War"
tt10168670,Bones and All,2022.0,"Drama,Horror,Romance"
tt10171796,MexZombies,2022.0,"Comedy,Horror,Thriller"
tt10187208,A Boy Called Christmas,2021.0,"Adventure,Drama,Family"
tt10192406,Causeway,2022.0,Drama
tt10198564,Bullet Proof,2022.0,Action
tt10217566,Prey,2019.0,Documentary
tt10223460,Marry Me,2022.0,"Comedy,Music,Romance"
tt10228134,Jolt,2021.0,"Action,Comedy,Crime"
tt10230994,Beckett,2021.0,"Action,Crime,Drama"
tt10231726,The Darker the Lake,2022.0,"Crime,Horror,Mystery"
tt10241772,Dakota,2022.0,"Drama,Family"
tt10242388,Last Seen Alive,2022.0,"Action,Crime,Drama"
tt1025100,Gemini Man,2019.0,"Action,Sci-Fi,Thriller"
tt10260844,Queen of Spades,2021.0,Horror
tt10268488,The Greatest Beer Run Ever,2022.0,"Adventure,Comedy,Drama"
tt10268708,Skin,2019.0,Documentary
tt10274594,Alone,2019.0,Drama
tt10275534,To Catch a Killer,2023.0,"Action,Crime,Drama"
tt10279472,The Black Demon,2023.0,"Action,Drama,Horror"
tt10293406,The Power of the Dog,2021.0,"Drama,Western"
tt10295702,Control,2021.0,Thriller
tt10298810,Lightyear,2022.0,"Action,Adventure,Animation"
tt10298840,Strange World,2022.0,"Action,Adventure,Animation"
tt10300662,Kidnap,2019.0,"Crime,Drama"
