date_x,orig_title,budget_x,revenue,orig_title_norm
2023-03-02,Creed III,75000000.0,271616668.0,creed iii
2022-12-15,Avatar: The Way of Water,460000000.0,2316794914.0,avatar: the way of water
2023-04-05,The Super Mario Bros. Movie,100000000.0,724459031.0,the super mario bros. movie
2023-01-05, Momias,12300000.0,34200000.0,momias
2023-03-17,Supercell,77000000.0,340941958.6,supercell
2023-02-23,Cocaine Bear,35000000.0,80000000.0,cocaine bear
2023-03-23,John Wick: Chapter 4,100000000.0,351349364.0,john wick: chapter 4
2022-12-26,Puss in Boots: The Last Wish,90000000.0,483480577.0,puss in boots: the last wish
2022-09-30,Attack on Titan,71000000.0,254946484.2,attack on titan
2023-03-02,The Park,119200000.0,488962491.0,the park
2023-02-14,Winnie the Pooh: Blood and Honey,100000.0,3200000.0,winnie the pooh: blood and honey
2022-11-02, La Exorcista,12000000.0,428214478.0,la exorcista
2023-03-31,Murder Mystery 2,43800000.0,489543087.4,murder mystery 2
2022-11-10,Black Panther: Wakanda Forever,250000000.0,854041058.0,black panther: wakanda forever
2023-04-06,The Pope's Exorcist,92000000.0,462216471.8,the pope's exorcist
2022-07-22,Prizefighter: The Life of Jem Belcher,77600000.0,562112551.0,prizefighter: the life of jem belcher
2023-02-02,Knock at the Cabin,20000000.0,54629497.0,knock at the cabin
2023-01-13,The Devil Conspiracy,54060000.0,492646395.4,the devil conspiracy
2023-01-19,Cazadora,110400000.0,318117812.6,cazadora
2022-12-15, Gulltransporten,123500000.0,420430064.8,gulltransporten
2023-03-17,The Magician's Elephant,82600000.0,473097256.6,the magician's elephant
2023-01-27,Plane,25000000.0,51000000.0,plane
2023-03-28,Batman: The Doom That Came to Gotham,145760000.0,321934831.2,batman: the doom that came to gotham
2023-03-16,Shazam! Fury of the Gods,125000000.0,132107025.0,shazam! fury of the gods
2023-02-10,Consecration,54060000.0,492646395.4,consecration
2022-08-12,Shark Side of the Moon,10000.0,17887093.8,shark side of the moon
2022-10-20,Black Adam,200000000.0,391261706.0,black adam
2023-03-15,Money Shot: The Pornhub Story,68500000.0,280052393.0,money shot: the pornhub story
2023-01-12,M3GAN,12000000.0,167643991.0,m3gan
2023-02-16,Ant-Man and the Wasp: Quantumania,200000000.0,466001332.0,ant-man and the wasp: quantumania
2023-03-03,Sayen,73800000.0,370426090.8,sayen
2023-02-24,Die Hart,113000000.0,369995579.2,die hart
