title,author,stars,reviews,category_id,publishedDate,category_name
The Covenant of Water (Oprah's Book Club),Abraham Verghese,4.7,31767,5,2023-05-02,Literature & Fiction
The Lost Bookshop: The most charming and uplifting novel of 2023 and the perfect gift for book lovers!,Evie Woods,4.5,12880,5,2023-06-22,Literature & Fiction
Happiness: A Novel,Danielle Steel,4.5,4705,5,2023-08-08,Literature & Fiction
Pineapple Street: A Novel,Jenny Jackson,4.0,17667,5,2023-03-07,Literature & Fiction
Romantic Comedy (Reese's Book Club): A Novel,Curtis Sittenfeld,4.1,8572,5,2023-04-04,Literature & Fiction
Best Frenemies,Max Monroe,4.6,1423,5,2023-09-16,Literature & Fiction
The Stars Don't Lie: A Novel,Boo Walker,4.4,3350,5,2023-08-22,Literature & Fiction
The Ice Kiss: Standalone Fake Relationship Hockey Romance,L. Steele,4.5,172,5,2023-09-26,Literature & Fiction
Malibu Rising: A Novel,Taylor Jenkins Reid,4.2,68915,5,2021-06-01,Literature & Fiction
Practice Makes Perfect: A Novel,Sarah Adams,4.3,5993,5,2023-05-02,Literature & Fiction
Must Love Flowers: A Novel,Debbie Macomber,4.6,2693,5,2023-07-11,Literature & Fiction
CIRCE,Madeline Miller,4.6,73185,5,2018-04-10,Literature & Fiction
The Only Woman in the Room: A Novel,Marie Benedict,4.3,22350,5,2019-08-06,Literature & Fiction
A Not So Meet Cute,Meghan Quinn,4.4,44203,5,2021-11-02,Literature & Fiction
The Guncle,Steven Rowley,4.4,14110,5,2021-05-25,Literature & Fiction
The Dutch House: A Read with Jenna Pick: A Summer Beach Read,Ann Patchett,4.3,71046,5,2019-09-24,Literature & Fiction
Once There Was a Lawman,Diana Palmer,4.6,101,5,2023-09-26,Literature & Fiction
"Sing, Wild Bird, Sing: A Novel",Jacqueline O'Mahony,4.2,13008,5,2023-08-01,Literature & Fiction
The Cypress Maze,Fiona Valpy,4.5,5960,5,2023-07-18,Literature & Fiction
His Secret Daughter: A totally heartbreaking and gripping page-turner,Melissa Wiesner,4.4,5469,5,2023-01-03,Literature & Fiction
The Paris Library: A Novel,Janet Skeslien Charles,4.4,23002,5,2021-02-09,Literature & Fiction
When Never Comes,Barbara Davis,4.4,53601,5,2018-05-01,Literature & Fiction
Accidental Attachment,Max Monroe,4.4,6571,5,2023-04-30,Literature & Fiction
When in Rome: A Novel,Sarah Adams,4.2,5635,5,2022-09-20,Literature & Fiction
The Magic of Sea Glass: A dazzlingly heartwarming summer romance,Jenny Hale,4.5,6007,5,2023-05-09,Literature & Fiction
The Heart's Invisible Furies: A Novel,John Boyne,4.5,31115,5,2017-08-22,Literature & Fiction
Summer of '69,Elin Hilderbrand,4.4,22472,5,2019-06-18,Literature & Fiction
At the Coffee Shop of Curiosities: A Novel,Heather Webber,4.6,452,5,2023-08-01,Literature & Fiction
The Redo,Max Monroe,4.5,10126,5,2022-07-17,Literature & Fiction
Baker Brothers of Copper Creek Box Set: Copper Creek Western Romances,Natalie Dean,4.6,1980,5,2022-12-06,Literature & Fiction
The Tiffany Girls: A Novel,Shelley Noble,4.4,650,5,2023-05-09,Literature & Fiction
"The Wren, the Wren: A Novel",Anne Enright,3.7,124,5,2023-09-19,Literature & Fiction
The Last List of Mabel Beaumont: The unforgettable read everyone will be talking about in summer 2023,Laura Pearson,4.3,1631,5,2023-08-04,Literature & Fiction
This Other Eden: A Novel,Paul Harding,4.2,690,5,2023-01-24,Literature & Fiction
Rise of the Weakest Healer 1: A LitRPG Saga,Blake Alexander,4.4,489,5,2023-08-17,Literature & Fiction
The Silver Ladies Do Lunch: THE TOP 10 BESTSELLER,Judy Leigh,4.2,3282,5,2023-06-02,Literature & Fiction
The Lost Girls of Willowbrook: A Heartbreaking Novel of Survival Based on True History,Ellen Marie Wiseman,4.3,7849,5,2022-08-30,Literature & Fiction
Olga Dies Dreaming: A Novel,Xochitl Gonzalez,4.3,5301,5,2022-01-04,Literature & Fiction
Thing: a Monster Romance,Stasia Black,4.5,241,5,2023-09-14,Literature & Fiction
How to Love Your Daughter: A Novel,Hila Blum,3.9,177,5,2023-07-18,Literature & Fiction
This Guy?,Ali Parker,4.4,160,5,2023-08-31,Literature & Fiction
"Wrong For You: A Single Dad, Small Town Romance",Harloe Rae,4.1,5509,5,2023-03-29,Literature & Fiction
Iona Iverson's Rules for Commuting: A Novel,Clare Pooley,4.5,1907,5,2022-06-07,Literature & Fiction
Dragon of Shadow and Air Complete Series Boxed Set,Jess Mountifield,4.6,1178,5,2022-10-10,Literature & Fiction
Exhalation: Stories,Ted Chiang,4.5,12360,5,2019-05-07,Literature & Fiction
"Georgie, All Along: An Uplifting and Unforgettable Love Story",Kate Clayborn,4.2,4006,5,2023-01-24,Literature & Fiction
"So Long, Chester Wheeler: A Novel",Catherine Ryan Hyde,4.6,11743,5,2022-12-06,Literature & Fiction
The Best Is Yet to Come: A Novel,Debbie Macomber,4.6,4993,5,2022-07-12,Literature & Fiction
