tconst,averageRating,numVotes
tt0293429,6.1,203786
tt0437086,7.3,322119
tt0439572,6.6,245757
tt0448115,7.0,411457
tt0451279,7.3,733137
tt0493405,6.0,53906
tt0498381,4.5,45617
tt0781524,5.6,42
tt0837563,5.7,104430
tt0870154,6.5,226189
tt0887261,5.9,55228
tt0974015,6.0,502997
tt0993840,5.8,200066
tt10013634,7.3,13
tt10016180,6.3,140189
tt10023022,5.6,13183
tt10037014,5.9,11148
tt10039344,5.4,52542
tt10077034,4.2,3314
tt10080270,5.8,1737
tt10097362,3.9,446
tt10098448,7.1,16475
tt10101702,6.8,5051
tt10121392,4.6,48270
tt10131024,5.7,11785
tt10151854,5.9,144175
tt10155932,4.4,50181
tt10160974,4.9,2115
tt1016150,7.8,311966
tt10168670,6.8,72811
tt10171796,5.3,448
tt10187208,6.7,31225
tt10192406,6.6,26681
tt10198564,4.3,1946
tt10217566,8.6,48
tt10223460,6.1,47877
tt10228134,5.6,39078
tt10230994,5.7,30488
tt10231726,3.3,313
tt10241772,5.3,3175
tt10242388,5.7,35879
tt1025100,5.7,130478
tt10260844,3.8,984
tt10268488,6.8,36572
tt10268708,7.0,65
tt10274594,7.0,278
tt10275534,6.6,56382
tt10279472,3.7,11112
tt10293406,6.8,221562
tt10298810,6.1,135196
tt10298840,5.7,50325
tt10300662,5.2,479
tt10304142,6.2,106596
tt10323178,4.2,568
tt10323676,5.8,34871
tt10327252,5.4,48392
tt10327974,6.6,186
tt10342730,5.2,76492
tt10343028,6.4,17896
tt1034385,6.0,19952
tt1034415,6.7,104444
tt10362566,5.3,6247
tt10365998,6.0,73052
tt10366206,7.6,406963
tt10366460,8.0,205008
tt10370710,7.7,124502
tt10399608,6.1,15978
tt10403420,6.0,81358
tt10405142,6.1,4927
tt10418662,4.9,28713
tt10418680,5.5,712
tt10431332,5.6,148
tt10451312,5.4,4275
tt10451914,5.4,48220
tt10473036,6.2,6585
tt10483152,6.9,3054
tt10515988,5.3,19942
tt10521144,5.8,11490
tt10559102,4.4,4035
tt10579942,7.2,16
tt10602182,6.3,667
tt10603396,6.2,496
tt10633878,5.3,140
tt10640346,7.1,204517
tt10645682,4.3,3491
tt10648342,6.1,456348
tt10661710,6.8,5369
tt10665338,5.5,107702
tt10665342,5.0,82267
tt10669914,5.3,311
tt10676012,6.3,39055
tt10691162,5.3,19903
tt10696784,6.6,77154
tt10696896,6.6,63605
tt10719596,5.9,46
tt10722406,4.9,490
tt1072748,5.5,39193
tt10731256,6.3,175027
tt10731768,5.5,37997
tt10763820,5.7,24232
tt10767168,6.6,9035
tt10801582,7.3,77
tt10808502,6.6,15
tt10809742,4.2,1241
tt10820876,5.9,41
tt10838180,5.6,301451
tt10841088,5.6,2629
tt10855768,7.1,71239
tt10857178,7.4,396
tt10872600,8.1,1007108
tt10914482,4.7,622
tt10929896,5.9,18
tt10932544,6.9,39
tt10944596,6.7,6518
tt10944760,6.4,65627
tt10945274,6.4,3131
tt10949028,5.8,2038
tt10954600,6.0,266823
tt10954652,5.8,182411
tt10954984,6.8,313100
tt10999120,6.6,59377
tt11005128,4.6,2120
tt11012066,3.6,23160
tt11018264,5.9,1245
tt11069038,6.4,1137
